Crop Type,District,Agro_Climactic_Zone,Soil_Type,Year,AREA(ha),Rainfall_Sowing_Kharif(mm),Rainfall_Peak_Kharif(mm),Rainfall_Flowering_Kharif(mm),Total_Rainfall(mm),Avg_Water_Deficit(m³/ha),Rainfall_Water_Ratio,Water_Deficit_Sowing_Kharif(m³/ha),Water_Deficit_Peak_Kharif(m³/ha),Water_Deficit_Flowering_Kharif(m³/ha),YIELD(kg/ha),N Ratio(kg/ha),P Ratio(kg/ha),K Ratio(kg/ha),Soil_PH,Soil N (kg/ha),Soill P (kg/ha),Soil K (kg/ha)
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,1.49,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,597.32,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,0.74,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,378.38,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,9.72,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,1157.41,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,1.65,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,1248.48,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,99.39,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,467.35,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,33.42,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,666.07,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,1.14,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,578.95,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,444.33,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,1446.72,19,19,19,5.8,120,11,190
SAFFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,0.14,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,500,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,6.44,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,481.37,19,19,19,5.8,120,11,190
